"id","code","type","parent_id/id","name"
"l10n_hr_joppd_payment_method","","view",,"Način isplate/izvršenja obveze"
"l10n_hr_joppd_payment_method_0",0,"normal","l10n_hr_joppd_payment_method","Nema isplate"
"l10n_hr_joppd_payment_method_1",1,"normal","l10n_hr_joppd_payment_method","Isplata na tekući račun"
"l10n_hr_joppd_payment_method_2",2,"normal","l10n_hr_joppd_payment_method","Isplata na žiro račun"
"l10n_hr_joppd_payment_method_3",3,"normal","l10n_hr_joppd_payment_method","Ostale bezgotovinske isplate na račune sukladno posebnim propisima"
"l10n_hr_joppd_payment_method_4",4,"normal","l10n_hr_joppd_payment_method","Isplata u gotovini"
"l10n_hr_joppd_payment_method_5",5,"normal","l10n_hr_joppd_payment_method","Davanje u naravi"
"l10n_hr_joppd_payment_method_6",6,"normal","l10n_hr_joppd_payment_method","Naplata primitka u ovršnom postupku"
"l10n_hr_joppd_payment_method_7",7,"normal","l10n_hr_joppd_payment_method","Isplate putem obračunskih plaćanja"
