"id","help_text","code","field_type","description","parent_id/id","required","report_id/id"
"joppd-a_V3","Zbroj stupaca 14.1. i 14.2. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 2001-2009.","V.3","decimalni iznos","Ukupan iznos predujma poreza na dohodak i prireza porezu na dohodak po osnovi dohotka od imovinskih prava  i posebnih vrsta imovine","joppd-a_V","False","joppd-a"
"joppd-a_V4","Zbroj stupaca 14.1. i 14.2. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 3001-3009.","V.4","decimalni iznos","Ukupan iznos predujma poreza na dohodak i prireza porezu na dohodak po osnovi dohotka od osiguranja","joppd-a_V","False","joppd-a"
"joppd-a_V5","","V.5","decimalni iznos","Ukupan iznos predujma poreza na dohodak i prireza porezu na dohodak po osnovi primitka od kojeg se utvrđuje drugi dohodak","joppd-a_V","False","joppd-a"
"joppd-a_V6","","V.6","decimalni iznos","Ukupan iznos predujma poreza na dohodak i prireza porezu na dohodak po osnovi dohotka od kamata","joppd-a_V","False","joppd-a"
"joppd-a_VI","Zbroj stupaca 14.1. i 14.2. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 4001-4009, 5501.","VI","view","PODACI O UKUPNOM IZNOSU OBRAÈUNANOG DOPRINOSA","","False","joppd-a"
"joppd-a_VI1","","VI.1","view","DOPRINOS ZA MIROVINSKO OSIGURANJE NA TEMELJU GENERACIJSKE SOLIDARNOSTI","joppd-a_VI","False","joppd-a"
"joppd-a_VI11","Zbroj stupca 12.1. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0001-0003, 0005-0009, 0021-0029, 5701-5799.","VI.1.1","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti po osnovi radnog odnosa","joppd-a_VI1","False","joppd-a"
"joppd-a_VI12","Zbroj stupca 12.1. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0201, 4002.","VI.1.2","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti po osnovi drugog dohotka","joppd-a_VI1","False","joppd-a"
"joppd-a_VI13","Zbroj stupca 12.1. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0031-0039.","VI.1.3","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti po osnovi poduzetničke plaće","joppd-a_VI1","False","joppd-a"
"joppd-a_VI14","Zbroj stupca 12.1. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 5401-5403, 5608.","VI.1.4","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti za osiguranike za koje se doprinos uplaćuje prema posebnim propisima","joppd-a_VI1","False","joppd-a"
"joppd-a_VI15","Zbroj stupca 12.1 sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 5302, 5501, 5604, 5606, 5607.","VI.1.5","decimalni iznos","Ukupan iznos posebnog doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti za osobe osigurane u određenim okolnostima","joppd-a_VI1","False","joppd-a"
"joppd-a_VI16","Zbroj stupca 12.6. sa stranice B Obrasca JOPPD.","VI.1.6","decimalni iznos","Ukupan iznos dodatnog doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti za staž osiguranja koji se računa s povećanim trajanjem","joppd-a_VI1","False","joppd-a"
"joppd-a_VI17","","VI.1.7","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti po osnovi obavljanja samostalne djelatnosti za osobe koje su same za sebe obvezne obračunati doprinose","joppd-a_VI1","False","joppd-a"
"joppd-a_VI2","","VI.2","view","DOPRINOS ZA MIROVINSKO OSIGURANJE NA TEMELJU INDIVIDUALNE KAPITALIZIRANE ŠTEDNJE","joppd-a_VI","False","joppd-a"
"joppd-a_VI21","Zbroj stupca 12.2. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0001-0003, 0005-0009, 0021-0029, 5701-5799.","VI.2.1","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju individualne kapitalizirane štednje po osnovi radnog odnosa","joppd-a_VI2","False","joppd-a"
"joppd-a_VI22","Zbroj stupca 12.2. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0201, 4002.","VI.2.2","decimalni iznos","Ukupan iznos doprinosa za mirovinsko osiguranje na temelju individualne kapitalizirane štednje po osnovi drugog dohotka","joppd-a_VI2","False","joppd-a"
