"id","help_text","code","field_type","description","parent_id/id","required","report_id/id"
"joppd-b_102","Razdoblje za koje se obračunava obveza doprinosa i/ili razdoblje za koje se primitak isplaćuje odnosno u kojem se isplaćuje. Razdoblje može biti:1. mjesec dana ili kraće od mjesec dana ako u jednom mjesecu počinje i/ili završava razdoblje osiguranja prema istoj osnovi osiguranja, to se upisuje u formatu od DD.MM.GGGG. do DD.MM.GGGG  2. više mjeseci, a manje od godinu dana (kalendarske godine), to se upisuje u formatu od DD.MM.GGGG. do DD.MM. 3. te kalendarska godina to se upisuje u formatu od 01.01.GGGG. do 31.12.GGGG., ","10.2.","","Razdoblje obračuna do","","False","joppd-b"
"joppd-b_11","Ukupni iznos oporezivog primitka.","11.","","Iznos primitka (oporezivi) ","","False","joppd-b"
"joppd-b_12","Osnovica za obračun doprinosa (pod 12.). Kada je osnovica viša od najviše mjesećne ili najviše godišnje osnovice za obraćun doprinosa za obvezno mirovinsko osiguranje, upisuje se stvarni iznos osnovice (ne upisuje se iznos najviše mjesećne ili godišnje osnovice).","12.","","Osnovica za obračun doprinosa ","","False","joppd-b"
"joppd-b_121","Iznos obračunanih doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti primjenom propisane stope na osnovicu za obračun doprinosa.","12.1.","","Doprinos za mirovinsko osiguranje ","","False","joppd-b"
"joppd-b_122","Iznos obračunanih doprinosa za mirovinsko osiguranje na temelju individualne kapitalizirane štednje primjenom propisane stope na osnovicu za obračun doprinosa, te podaci o kamati za doprinose za mirovinsko osiguranje na temelju individualne kapitalizirane štednje koja je naplaćena zbog nepravovremene uplate dospjele obveze.","12.2.","","Doprinos za mirovinsko osiguranje - II STUP ","","False","joppd-b"
"joppd-b_123","Iznos obrčunanih doprinosa za zdravstveno osiguranje primjenom propisane stope na osnovicu za obračun doprinosa.","12.3.","","Doprinos za zdravstveno osiguranje  ","","False","joppd-b"
"joppd-b_124","Iznos obračunanih doprinosa za zaštitu zdravlja na radu primjenom propisane stope na osnovicu za obraćun doprinosa.","12.4.","","Doprinos za zaštitu zdravlja na radu ","","False","joppd-b"
"joppd-b_125","Iznos obračunanih doprinosa za zapošljavanje primjenom propisane stope na osnovicu za obračun doprinosa.","12.5.","","Doprinos za zapošljavanje ","","False","joppd-b"
"joppd-b_126","Iznos obračunanih doprinosa za mirovinsko osiguranje na temelju generacijske solidarnosti za staž osiguranja s povećanim trajanjem primjenom propisane stope na osnovicu za obraèun doprinosa. Podatak se upisuje samo ako je upisana oznaka 1, 2, 3 ili 4 pod 7.1. ","12.6.","","Dodatni doprinos za doprinos mirovinsko osig. za staž osiguranja koji se računa s povećanim trajanjem ","","False","joppd-b"
"joppd-b_127","Iznos obračunanih doprinosa za mirovinsko osiguranje na temelju individualne kapitalizirane štednje za staž osiguranja s povećanim trajanjem primjenom propisane stope na osnovicu za obračun doprinosa. Podatak se upisuje samo ako je upisana oznaka 1, 2, 3 ili 4 pod 7.1.","12.7.","","Dodatni doprinos za mirovinsko osiguranje za staž osiguranja koji se raćuna s povećanim trajanjem - II STUP ","","False","joppd-b"
"joppd-b_128","Iznos obračunanog posebnog doprinosa za korištenje zdravstvene zaštite u inozemstvu za osiguranike koji službeno borave u inozemstvu odnosno posebnog doprinosa za korištenje zdravstvene zaštite u inozemstvu za osiguranike koji borave na službenom putu u inozemstvu i izaslane osobe koje obavljaju samostalnu djelatnost primjenom propisane stope na osnovicu za obračun doprinosa.","12.8.","","Poseban doprinos za koritšenje zdravstvene zaštite u inozemstvu","","False","joppd-b"
"joppd-b_129","Iznos umanjenja osnovice","12.9.","","Iznos umanjenja osnovice","","False","joppd-b"
"joppd-b_131","Izdatak  upisuje se, ovisno o vrsti obračuna, iznos izdatka iz članka 32. stavka 5. Zakona i članka 46. stavka 5. ovoga Pravilnika ili iznos doprinosa iz osnovice kod isplate zaostale plaće za mjesec dana rada za razdoblje koje je ranije od 1.1.2003. a za koju je prethodno izvršen obračun i zaduženi su doprinosi na minimalnu osnovicu i/ili dio doprinosa iz primitka a koji nije doprinos za mirovinsko osiguranje.","13.1.","","Izdatak ","","False","joppd-b"
"joppd-b_132","Izdatak uplaćeni doprinos za mirovinsko osiguranje iz primitka.","13.2.","","Izdatak - uplaćeni  doprinos za  mirovinsko  osiguranje ","","False","joppd-b"
"joppd-b_133","","13.3.","","Dohodak ","","False","joppd-b"
"joppd-b_134","Osobni odbitak iz članka 36. stavaka 1. i 2. Zakona.","13.4.","","Osobni odbitak ","","False","joppd-b"
"joppd-b_135","","13.5.","","Porezna osnovica ","","False","joppd-b"
"joppd-b_141","Iznos obračunanog predujma poreza na dohodak (pod 14.1.). Kod obračuna predujma poreza na dohodak po osnovi nesamostalnog rada koje ostvaruju hrvatski ratni vojni invalidi iz Domovinskog rata upisuje se obračunani predujam poreza na dohodak umanjen za postotak invalidnosti hrvatskog ratnog vojnog invalida iz Domovinskog rata sukladno članku 53. stavku 1. Zakona i članku 61. stavku 15. ovoga Pravilnika.","14.1.","","Iznos obračunanog poreza  na dohodak ","","False","joppd-b"
"joppd-b_142","Iznos obračunanog predujma prireza porezu na dohodak.","14.2.","","Iznos obračunanog prireza  porezu na dohodak ","","False","joppd-b"
"joppd-b_151","Oznaka neoporezivog primitka, odnosno primitka koji bi bio oporeziv porezom na dohodak da odredbama ugovora o izbjegavanju dvostrukog oporezivanja nije drukčije uređeno, iz Priloga 4. Neoporezivi primici/primici koji se ne smatraju dohotkom.","15.1.","","Oznaka neoporezivog primitka ","","False","joppd-b"
"joppd-b_152","Iznos neoporezivog primitka, odnosno primitka koji bi bio oporeziv porezom na dohodak da odredbama ugovora o izbjegavanju dvostrukog oporezivanja nije drugačije uređeno (sa uključenim obveznim doprinosima iz osnovice).","15.2.","","Iznos neoporezivog primitka ","","False","joppd-b"
"joppd-b_161","Oznaka načina isplate odnosno izvršenja obveze iz Priloga 5. Način isplate/izvršenja obveze.","16.1.","","Oznaka načina isplate","","False","joppd-b"
"joppd-b_162","Iznos za isplatu-upisuje se iznos ukupnog primitka (oporezivog primitka iz točke 11. i/ili neoporezivog primitka iz točke 15.2.) umanjenog za iznos uplaćenih doprinosa iz primitka, te uplaćenog predujma poreza i prireza.","16.2.","","Iznos za isplatu ","","False","joppd-b"
"joppd-b_17","Ukupan iznos obračunanog primitka od nesamostalnog rada (redovna plaća) za izvještajno razdoblje, neovisno da li je primitak isplaćen ili ne. Upisuje se na način propisan za broj sati rada iz točke 16. ovoga stavka.","17.","","Obračunani primitak od nesam. rada (plaća)","","False","joppd-b"
